Month,Average Wind Speed(stdev),Average Ambient Temperature(stdev),Solar Radiation
2014
March,20.2751(10.9134),22.8245(5.21234),192
April,13.7115(9.48982),19.3154(5.01694),146
May,17.0764(11.2455),16.5148(3.23797),97
June,4.65108(8.44534),13.2063(4.69216),90
July,12.7061(11.0131),13.4973(3.68909),95
August,18.9688(10.5323),15.4855(4.10536),123
September,20.5773(12.2005),16.095(3.99265),154
October,18.8937(9.12361),17.7946(4.74632),209
November,20.3355(8.99872),19.0069(4.58077),228
December,21.7421(8.11065),21.2299(4.9638),276
